n,direccion,status,http_code,elapsed_s,error
297,GUALEGUAYCHU 2561,OK,200.0,4.4237024784088135,
298,HAITI 4040,OK,200.0,4.9414427280426025,
299,EL CARPINTERO 6939,OK,200.0,4.624219179153442,
300,RENQUE CURA 1728,OK,200.0,7.108957290649414,
301,SENILLOSA 1834,OK,200.0,4.325029373168945,
302,AV. COMODORO MARTIN RIVADAVIA 1762,OK,200.0,4.377670526504517,
303,MURATURE 5021,OK,200.0,5.247331857681274,
304,CAPDEVILA 2797,OK,200.0,5.401666879653931,
305,AV. SEGUROLA 840,OK,200.0,7.313425540924072,
306,CARLOS CALVO 3150,OK,200.0,5.623962163925171,
307,FONROUGE 3856,OK,200.0,6.915958642959595,
308,ESTADO PLURINACIONAL DE BOLIVIA 1786,OK,200.0,8.462980031967163,
309,OPORTO 6270,OK,200.0,5.832768678665161,
310,BAZURCO 3622,OK,200.0,4.409711599349976,
311,ALGARROBO 1028,OK,200.0,5.722547769546509,
312,ENRIQUE SANTOS DISCEPOLO 1838,ERROR,404.0,1.198477029800415,HTTP 404
313,DESAGUADERO 2865,OK,200.0,4.105961322784424,
314,MADARIAGA 6686,OK,200.0,7.6515724658966064,
315,GIRIBONE 994,OK,200.0,4.819987773895264,
316,ARCOS 4548,OK,200.0,4.106525182723999,
317,VIRGILIO 2351,OK,200.0,4.572610378265381,
318,AV. JOSE MARIA MORENO 1243,OK,200.0,5.481242895126343,
319,AVELINO DIAZ 2176,OK,200.0,4.345400094985962,
320,REPUBLICA ARABE-SIRIA 3208,OK,200.0,5.763798952102661,
321,AZARA 538,OK,200.0,7.026555061340332,
322,BRANDSEN 456,OK,200.0,6.86597466468811,
323,SANTA CATALINA 1545,OK,200.0,5.249024868011475,
324,ISABEL LA CATOLICA 1732,OK,200.0,8.285484075546265,
325,VALLEJOS 4477,OK,200.0,5.043416500091553,
326,ARIAS 3457,OK,200.0,5.714993715286255,
327,LAS CASAS 3511,OK,200.0,5.189549207687378,
328,CAMARONES 5492,OK,200.0,4.518635511398315,
329,VIEYTES 1842,OK,200.0,4.974715709686279,
330,PILAR 1310,OK,200.0,7.270216703414917,
331,URIEN 7281,OK,200.0,5.141472339630127,
332,THORNE 494,OK,200.0,5.174593210220337,
